//------------------------------------------------------------------------------
//--  Generated by TunerStudio 
//--  Date: 1-24-2024
//--  Time: 18:27
//--  This file merely records what was sent to your Controller,        
//--  and may be deleted at any time.                                                    
//--  Selected type: Air Temperature Sensor 
//------------------------------------------------------------------------------

//-- generated using refTable Generator:thermGenerator
//-- Table Identifier:001//--    Generated by ThermTableGenerator using user input values. 
//--    Bias Resistor value: 2490 Ohms
//--    Temperature1: 100(C), 	Resistance 1: 187 Ohms 
//--    Temperature2: 50(C), 	Resistance 2: 834 Ohms 
//--    Temperature3: 0(C), 	Resistance 3: 5896 Ohms 
//-- 

//----------------------------------------------------------//
ADC 	Value 	MSVal 	volts
205	137.74	1377 	1.001
206	137.41	1374 	1.006
207	137.07	1371 	1.011
208	136.73	1367 	1.016
209	136.40	1364 	1.021
210	136.07	1361 	1.025
211	135.74	1357 	1.030
212	135.41	1354 	1.035
213	135.08	1351 	1.040
214	134.76	1348 	1.045
215	134.43	1344 	1.050
216	134.11	1341 	1.055
217	133.79	1338 	1.060
218	133.46	1335 	1.064
219	133.15	1331 	1.069
220	132.83	1328 	1.074
221	132.51	1325 	1.079
222	132.20	1322 	1.084
223	131.88	1319 	1.089
224	131.57	1316 	1.094
225	131.26	1313 	1.099
226	130.95	1309 	1.104
227	130.64	1306 	1.108
228	130.33	1303 	1.113
229	130.03	1300 	1.118
230	129.72	1297 	1.123
231	129.42	1294 	1.128
232	129.12	1291 	1.133
233	128.81	1288 	1.138
234	128.51	1285 	1.143
235	128.21	1282 	1.147
236	127.92	1279 	1.152
237	127.62	1276 	1.157
238	127.32	1273 	1.162
239	127.03	1270 	1.167
240	126.74	1267 	1.172
241	126.44	1264 	1.177
242	126.15	1262 	1.182
243	125.86	1259 	1.187
244	125.57	1256 	1.191
245	125.29	1253 	1.196
246	125.00	1250 	1.201
247	124.71	1247 	1.206
248	124.43	1244 	1.211
249	124.14	1241 	1.216
250	123.86	1239 	1.221
251	123.58	1236 	1.226
252	123.30	1233 	1.230
253	123.02	1230 	1.235
254	122.74	1227 	1.240
255	122.46	1225 	1.245
256	122.19	1222 	1.250
257	121.91	1219 	1.255
258	121.63	1216 	1.260
259	121.36	1214 	1.265
260	121.09	1211 	1.270
261	120.82	1208 	1.274
262	120.54	1205 	1.279
263	120.27	1203 	1.284
264	120.00	1200 	1.289
265	119.74	1197 	1.294
266	119.47	1195 	1.299
267	119.20	1192 	1.304
268	118.93	1189 	1.309
269	118.67	1187 	1.313
270	118.40	1184 	1.318
271	118.14	1181 	1.323
272	117.88	1179 	1.328
273	117.62	1176 	1.333
274	117.35	1174 	1.338
275	117.09	1171 	1.343
276	116.83	1168 	1.348
277	116.58	1166 	1.353
278	116.32	1163 	1.357
279	116.06	1161 	1.362
280	115.80	1158 	1.367
281	115.55	1155 	1.372
282	115.29	1153 	1.377
283	115.04	1150 	1.382
284	114.79	1148 	1.387
285	114.53	1145 	1.392
286	114.28	1143 	1.396
287	114.03	1140 	1.401
288	113.78	1138 	1.406
289	113.53	1135 	1.411
290	113.28	1133 	1.416
291	113.03	1130 	1.421
292	112.79	1128 	1.426
293	112.54	1125 	1.431
294	112.29	1123 	1.436
295	112.05	1120 	1.440
296	111.80	1118 	1.445
297	111.56	1116 	1.450
298	111.31	1113 	1.455
299	111.07	1111 	1.460
300	110.83	1108 	1.465
301	110.59	1106 	1.470
302	110.35	1103 	1.475
303	110.11	1101 	1.479
304	109.87	1099 	1.484
305	109.63	1096 	1.489
306	109.39	1094 	1.494
307	109.15	1092 	1.499
308	108.91	1089 	1.504
309	108.68	1087 	1.509
310	108.44	1084 	1.514
311	108.21	1082 	1.519
312	107.97	1080 	1.523
313	107.74	1077 	1.528
314	107.50	1075 	1.533
315	107.27	1073 	1.538
316	107.04	1070 	1.543
317	106.81	1068 	1.548
318	106.57	1066 	1.553
319	106.34	1063 	1.558
320	106.11	1061 	1.563
321	105.88	1059 	1.567
322	105.65	1057 	1.572
323	105.43	1054 	1.577
324	105.20	1052 	1.582
325	104.97	1050 	1.587
326	104.74	1047 	1.592
327	104.52	1045 	1.597
328	104.29	1043 	1.602
329	104.07	1041 	1.606
330	103.84	1038 	1.611
331	103.62	1036 	1.616
332	103.39	1034 	1.621
333	103.17	1032 	1.626
334	102.95	1029 	1.631
335	102.72	1027 	1.636
336	102.50	1025 	1.641
337	102.28	1023 	1.646
338	102.06	1021 	1.650
339	101.84	1018 	1.655
340	101.62	1016 	1.660
341	101.40	1014 	1.665
342	101.18	1012 	1.670
343	100.96	1010 	1.675
344	100.74	1007 	1.680
345	100.53	1005 	1.685
346	100.31	1003 	1.689
347	100.09	1001 	1.694
348	99.88	999 	1.699
349	99.66	997 	1.704
350	99.44	994 	1.709
351	99.23	992 	1.714
352	99.02	990 	1.719
353	98.80	988 	1.724
354	98.59	986 	1.729
355	98.37	984 	1.733
356	98.16	982 	1.738
357	97.95	979 	1.743
358	97.74	977 	1.748
359	97.53	975 	1.753
360	97.31	973 	1.758
361	97.10	971 	1.763
362	96.89	969 	1.768
363	96.68	967 	1.772
364	96.47	965 	1.777
365	96.26	963 	1.782
366	96.06	961 	1.787
367	95.85	958 	1.792
368	95.64	956 	1.797
369	95.43	954 	1.802
370	95.22	952 	1.807
371	95.02	950 	1.812
372	94.81	948 	1.816
373	94.60	946 	1.821
374	94.40	944 	1.826
375	94.19	942 	1.831
376	93.99	940 	1.836
377	93.78	938 	1.841
378	93.58	936 	1.846
379	93.37	934 	1.851
380	93.17	932 	1.855
381	92.97	930 	1.860
382	92.76	928 	1.865
383	92.56	926 	1.870
384	92.36	924 	1.875
385	92.16	922 	1.880
386	91.96	920 	1.885
387	91.75	918 	1.890
388	91.55	916 	1.895
389	91.35	914 	1.899
390	91.15	912 	1.904
391	90.95	910 	1.909
392	90.75	908 	1.914
393	90.55	906 	1.919
394	90.35	904 	1.924
395	90.16	902 	1.929
396	89.96	900 	1.934
397	89.76	898 	1.938
398	89.56	896 	1.943
399	89.36	894 	1.948
400	89.17	892 	1.953
401	88.97	890 	1.958
402	88.77	888 	1.963
403	88.58	886 	1.968
404	88.38	884 	1.973
405	88.18	882 	1.978
406	87.99	880 	1.982
407	87.79	878 	1.987
408	87.60	876 	1.992
409	87.40	874 	1.997
410	87.21	872 	2.002
411	87.02	870 	2.007
412	86.82	868 	2.012
413	86.63	866 	2.017
414	86.43	864 	2.021
415	86.24	862 	2.026
416	86.05	860 	2.031
417	85.86	859 	2.036
418	85.66	857 	2.041
419	85.47	855 	2.046
420	85.28	853 	2.051
421	85.09	851 	2.056
422	84.90	849 	2.061
423	84.71	847 	2.065
424	84.52	845 	2.070
425	84.33	843 	2.075
426	84.14	841 	2.080
427	83.95	839 	2.085
428	83.76	838 	2.090
429	83.57	836 	2.095
430	83.38	834 	2.100
431	83.19	832 	2.104
432	83.00	830 	2.109
433	82.81	828 	2.114
434	82.62	826 	2.119
435	82.43	824 	2.124
436	82.25	822 	2.129
437	82.06	821 	2.134
438	81.87	819 	2.139
439	81.68	817 	2.144
440	81.50	815 	2.148
441	81.31	813 	2.153
442	81.12	811 	2.158
443	80.94	809 	2.163
444	80.75	807 	2.168
445	80.56	806 	2.173
446	80.38	804 	2.178
447	80.19	802 	2.183
448	80.01	800 	2.188
449	79.82	798 	2.192
450	79.64	796 	2.197
451	79.45	795 	2.202
452	79.27	793 	2.207
453	79.08	791 	2.212
454	78.90	789 	2.217
455	78.71	787 	2.222
456	78.53	785 	2.227
457	78.35	783 	2.231
458	78.16	782 	2.236
459	77.98	780 	2.241
460	77.80	778 	2.246
461	77.61	776 	2.251
462	77.43	774 	2.256
463	77.25	772 	2.261
464	77.07	771 	2.266
465	76.88	769 	2.271
466	76.70	767 	2.275
467	76.52	765 	2.280
468	76.34	763 	2.285
469	76.16	762 	2.290
470	75.97	760 	2.295
471	75.79	758 	2.300
472	75.61	756 	2.305
473	75.43	754 	2.310
474	75.25	753 	2.314
475	75.07	751 	2.319
476	74.89	749 	2.324
477	74.71	747 	2.329
478	74.53	745 	2.334
479	74.35	743 	2.339
480	74.17	742 	2.344
481	73.99	740 	2.349
482	73.81	738 	2.354
483	73.63	736 	2.358
484	73.45	735 	2.363
485	73.27	733 	2.368
486	73.09	731 	2.373
487	72.91	729 	2.378
488	72.73	727 	2.383
489	72.56	726 	2.388
490	72.38	724 	2.393
491	72.20	722 	2.397
492	72.02	720 	2.402
493	71.84	718 	2.407
494	71.66	717 	2.412
495	71.49	715 	2.417
496	71.31	713 	2.422
497	71.13	711 	2.427
498	70.95	710 	2.432
499	70.78	708 	2.437
500	70.60	706 	2.441
501	70.42	704 	2.446
502	70.24	702 	2.451
503	70.07	701 	2.456
504	69.89	699 	2.461
505	69.71	697 	2.466
506	69.54	695 	2.471
507	69.36	694 	2.476
508	69.18	692 	2.480
509	69.01	690 	2.485
510	68.83	688 	2.490
511	68.66	687 	2.495
512	68.48	685 	2.500
513	68.30	683 	2.505
514	68.13	681 	2.510
515	67.95	680 	2.515
516	67.78	678 	2.520
517	67.60	676 	2.524
518	67.43	674 	2.529
519	67.25	673 	2.534
520	67.08	671 	2.539
521	66.90	669 	2.544
522	66.72	667 	2.549
523	66.55	665 	2.554
524	66.37	664 	2.559
